id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity_kmph,astronomical,miss_distance_km,miss_distance_lunar,orbiting_body
54418797,54418797,(2024 AM),27.83,0.0072202956,0.0161450717,False,2024-01-07,32484.0768586214,0.0080840728,1209360.071804936,3.1447043192,Earth
54419021,54419021,(2024 AW),25.53,0.0208235599,0.0465628955,False,2024-01-07,30585.5739394365,0.0286110782,4280156.357123434,11.1297094198,Earth
54419611,54419611,(2024 AL2),27.38,0.0088829042,0.0198627775,False,2024-01-07,23938.5466214872,0.010003857,1496555.69898459,3.891500373,Earth
54514905,54514905,(2025 AK2),21.74,0.1192765246,0.2667104172,True,2024-01-07,65934.8376853835,0.1889423676,28265375.74571701,73.4985809964,Earth
3147312,3147312,(2003 BN1),20.59,0.2025606009,0.4529392731,False,2024-01-13,115531.7319931414,0.159223364,23819476.10863468,61.937888596,Earth
3728898,3728898,(2015 TF),22.14,0.0992098919,0.2218400624,False,2024-01-13,60122.448818455,0.4280737173,64038916.31106215,166.5206760297,Earth
3781591,3781591,(2017 SM2),27.3,0.0092162655,0.0206081961,False,2024-01-13,27564.4808280082,0.090718593,13571308.28219691,35.289532677,Earth
3790060,3790060,(2017 WP28),20.92,0.1740022951,0.38908096,False,2024-01-13,158279.8647013056,0.4950125503,74052823.14814787,192.5598820667,Earth
3825489,3825489,(2018 MG7),21.39,0.1401376972,0.3133574171,True,2024-01-13,64705.6511065688,0.2858837546,42767600.7557627,111.2087805394,Earth
3826624,3826624,(2018 PW7),24.39,0.035200998,0.0787118244,False,2024-01-13,63740.7546240269,0.2524532448,37766467.69666857,98.2043122272,Earth
3986679,3986679,(2020 AK3),26.13,0.0157962856,0.0353215683,False,2024-01-13,63251.5627531602,0.398354781,59593026.74191647,154.960009809,Earth
3986764,3986764,(2020 BM1),25.6,0.0201629919,0.0450858206,False,2024-01-13,62003.9254699703,0.2365823392,35392214.0239375,92.0305299488,Earth
54101343,54101343,(2020 YG1),27.1,0.0101054342,0.0225964377,False,2024-01-13,61539.2642436494,0.4152023032,62113380.177814186,161.5136959448,Earth
54194973,54194973,(2021 RL7),28.27,0.0058959661,0.013183781,False,2024-01-13,27460.6156683288,0.0811755452,12143688.658008724,31.5772870828,Earth
54216277,54216277,(2021 VB2),28.34,0.0057089334,0.0127655632,False,2024-01-13,26810.1176205747,0.0779959411,11668026.657205457,30.3404210879,Earth
54378334,54378334,(2023 QS4),26.58,0.012839703,0.0287104486,False,2024-01-13,16830.2671851207,0.1268695089,18979408.299386043,49.3522389621,Earth
54419486,54419486,(2024 AR1),26.05,0.0163890951,0.0366471308,False,2024-01-13,16309.8765264169,0.0256409518,3835831.774052666,9.9743302502,Earth
54419701,54419701,(2024 AW2),26.32,0.0144728805,0.0323623447,False,2024-01-13,24277.1294123276,0.0280053841,4189545.809891867,10.8940944149,Earth
54420151,54420151,(2024 AP3),24.34,0.0360209346,0.0805452583,False,2024-01-13,54307.592882131,0.0844346826,12631248.671086062,32.8450915314,Earth
54420441,54420441,(2024 AD4),24.81,0.0290104841,0.0648694146,False,2024-01-13,47241.7614445212,0.0557464405,8339548.758881735,21.6853653545,Earth
54421380,54421380,(2024 BV),27.43,0.0086807046,0.0194106455,False,2024-01-13,66621.2117804896,0.014442149,2160514.72862263,5.617995961,Earth
54421910,54421910,(2024 BY1),25.71,0.0191670368,0.0428587972,False,2024-01-13,48083.1123424572,0.0203682656,3047049.149354272,7.9232553184,Earth
3266506,3266506,(2005 BH14),21.44,0.1369477737,0.3062245314,False,2024-01-12,62818.3146356222,0.3255285119,48698372.00450965,126.6305911291,Earth
3787093,3787093,(2017 UN1),24.75,0.0298232505,0.0666868155,False,2024-01-12,46953.6531006053,0.0717865203,10739110.531591762,27.9249563967,Earth
3797456,3797456,(2018 AN2),24.8,0.0291443905,0.0651688382,False,2024-01-12,41098.8159853024,0.1427527686,21355510.119162884,55.5308269854,Earth
3884015,3884015,(2019 UY8),24.96,0.0270741591,0.0605396602,False,2024-01-12,35357.5497170281,0.3734066758,55860843.343460545,145.2551968862,Earth
54240512,54240512,(2022 BS4),25.42,0.0219055911,0.0489823908,False,2024-01-12,74723.7485113142,0.3993439494,59741004.22762778,155.3447963166,Earth
